ibge7,Alagamento,Colapso,Corrida de massa,Deslizamento,Enchente,Enxurrada,Erosão,Expansão/Contração de argilas,Inundação,Outros,Queda,Rastejo,Subsidência,Tombamento,Alto,Muito alto,n_risco
3200805,0,0,0,12,0,0,0,0,9,0,0,0,0,0,7,14,21
3200904,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,4,9
3201001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3201100,0,0,0,9,0,0,1,0,3,0,0,0,0,0,13,0,13
3201159,0,0,0,7,0,0,0,0,3,0,0,0,0,0,10,0,10
3201209,0,0,1,27,0,0,0,0,17,0,1,0,0,0,31,15,46
3201308,0,0,1,87,0,0,0,0,4,0,0,0,0,0,47,45,92
3201407,0,0,0,11,0,12,0,0,0,0,4,0,0,0,12,15,27
3201506,0,0,0,46,0,1,0,0,17,0,0,0,0,0,34,30,64
3201605,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,4
3201704,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
3201803,0,0,0,2,0,0,0,0,1,0,1,0,0,0,4,0,4
3201902,0,0,0,19,0,0,1,0,0,0,0,2,0,0,1,21,22
3202009,0,0,0,19,0,3,2,0,3,0,1,0,0,0,19,9,28
3202108,0,0,0,6,0,1,0,0,6,0,2,0,0,0,13,2,15
3202207,0,0,0,11,0,0,0,0,3,0,1,0,0,0,8,7,15
3202256,0,0,0,5,0,0,0,0,3,0,0,0,0,0,7,1,8
3202306,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17,17
3202405,0,0,0,0,0,0,10,0,3,0,0,0,0,0,3,10,13
3202454,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,10,10
3202504,0,0,0,4,0,0,0,0,2,0,0,0,0,0,4,2,6
3202553,0,0,0,17,0,0,0,0,3,0,3,0,0,0,23,0,23
3202603,0,0,0,5,0,2,0,0,6,0,0,0,0,1,5,9,14
3202652,0,0,0,15,0,0,0,0,5,0,0,0,0,0,18,2,20
3202702,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10
3202801,0,0,0,7,0,0,0,0,5,0,0,0,0,0,11,1,12
3202900,0,0,0,7,0,0,0,0,4,0,0,0,0,0,11,0,11
3203007,0,0,0,9,0,0,0,0,2,0,0,0,0,0,9,2,11
3203056,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,3
3203106,0,0,0,1,0,0,2,0,2,0,2,0,0,0,2,5,7
3203130,0,0,0,8,0,0,0,0,2,0,0,0,0,0,7,3,10
3203163,0,0,0,8,0,0,0,0,2,0,0,0,0,0,9,1,10
3203205,2,0,0,5,0,0,0,0,5,0,1,0,0,0,10,3,13
3203304,0,0,0,11,0,0,1,0,3,0,0,0,0,0,10,5,15
3203320,0,0,0,7,0,0,3,0,0,0,0,0,0,0,7,3,10
3203346,0,0,0,27,0,1,0,0,14,0,2,0,0,0,20,24,44
3203353,0,0,0,25,0,0,2,0,0,0,0,0,0,0,24,3,27
3203403,0,0,0,16,0,0,0,0,0,0,7,0,0,0,21,2,23
3203502,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,3
3203700,0,0,0,5,0,0,0,0,6,0,0,0,0,0,6,5,11
3203809,0,0,0,4,3,0,0,0,0,0,1,0,0,0,5,3,8
3203908,0,0,0,8,0,0,0,0,3,0,1,0,0,0,8,4,12
3204005,0,0,0,14,0,1,0,0,3,0,7,0,0,0,21,4,25
3204054,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
3204203,0,0,0,4,0,0,1,0,1,0,0,0,0,0,2,4,6
3204302,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,4
3204351,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,3,5
3204401,0,0,0,1,0,8,0,0,0,0,5,1,0,0,5,10,15
3204500,0,0,0,15,0,0,0,0,10,0,1,0,0,0,25,1,26
3204559,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,9
3204609,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,6
3204658,0,0,0,6,0,0,0,0,1,0,0,0,0,0,6,1,7
3204708,0,0,0,13,0,0,0,0,5,0,0,0,0,0,16,2,18
3204807,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,12
3204906,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,4,5
3204955,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,4,5
3205002,0,0,0,8,0,0,0,0,4,0,0,0,0,0,10,2,12
3205010,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
3205036,0,0,0,2,0,0,0,0,13,0,1,0,0,0,14,2,16
3205069,0,0,1,8,0,0,1,0,3,0,1,0,0,0,12,2,14
3205101,0,0,0,20,10,0,0,0,3,0,2,0,0,0,35,0,35
3205150,0,0,0,5,0,0,0,0,10,0,1,0,0,0,14,2,16
3205176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
3205200,0,1,0,12,1,0,0,0,0,0,2,0,0,0,0,16,16
3300100,0,0,5,64,0,2,0,0,0,0,3,1,0,0,44,31,75
3301108,0,0,0,6,0,0,0,0,0,0,0,2,0,0,4,4,8
3303401,0,0,12,240,0,0,1,0,1,0,0,0,0,0,0,254,254
3304607,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,3
3305703,0,0,0,3,0,0,2,0,0,0,0,1,0,0,3,3,6
3500402,0,0,0,3,0,0,0,0,2,0,1,0,0,0,6,0,6
3500501,0,0,0,8,0,0,1,0,0,0,0,0,0,0,9,0,9
3500550,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3
3501608,0,0,0,1,0,0,0,0,5,0,0,0,0,0,6,0,6
3501905,0,0,0,8,0,3,0,0,1,0,0,0,0,0,12,0,12
3502002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3502705,0,0,0,15,0,0,0,0,6,0,0,0,0,0,11,10,21
3503109,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3503604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3503802,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
3504107,0,0,0,5,0,3,0,0,4,0,0,0,0,0,7,5,12
3504503,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
3506003,0,0,0,0,1,4,0,0,1,0,0,0,0,0,6,0,6
3506904,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3507605,0,0,0,3,0,0,1,0,9,0,1,0,0,0,14,0,14
3508405,0,0,0,2,0,1,1,0,2,0,1,0,0,0,7,0,7
3508801,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3509502,0,0,0,5,11,0,1,0,1,0,0,0,0,0,18,0,18
3510401,0,0,0,1,0,0,0,0,10,0,0,0,0,0,11,0,11
3510609,0,0,0,2,0,0,0,0,4,0,0,0,0,0,5,1,6
3510807,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
3511607,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3511706,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,4
3512209,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
3512308,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
3512407,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
