ibge7,tempo_medio_analise,tempo_medio_liberacao,qtd
3110707,83 days 00:00:00,246 days 00:00:00,1
3110806,89 days 00:00:00,439 days 00:00:00,1
3112000,93 days 18:00:00,229 days 18:00:00,4
3112109,37 days 00:00:00,99 days 00:00:00,2
3112307,59 days 00:00:00,322 days 00:00:00,1
3112604,95 days 00:00:00,93 days 00:00:00,1
3113008,161 days 12:00:00,183 days 00:00:00,2
3113305,116 days 00:00:00,165 days 00:00:00,1
3113404,173 days 00:00:00,218 days 00:00:00,1
3114501,14 days 12:00:00,126 days 12:00:00,2
3115300,80 days 14:24:00,222 days 14:24:00,5
3115508,57 days 00:00:00,273 days 12:00:00,2
3116001,80 days 12:00:00,156 days 12:00:00,2
3117603,29 days 00:00:00,601 days 00:00:00,1
3117702,289 days 00:00:00,158 days 00:00:00,1
3117801,167 days 00:00:00,99 days 00:00:00,1
3118601,56 days 00:00:00,218 days 00:00:00,1
3119203,48 days 00:00:00,214 days 00:00:00,1
3119302,55 days 00:00:00,181 days 00:00:00,1
3119401,150 days 12:00:00,230 days 12:00:00,2
3119807,113 days 00:00:00,197 days 00:00:00,1
3120151,755 days 00:00:00,216 days 00:00:00,1
3120607,56 days 16:00:00,107 days 08:00:00,3
3120870,137 days 08:00:00,287 days 16:00:00,3
3121704,29 days 00:00:00,117 days 00:00:00,1
3121803,83 days 12:00:00,398 days 12:00:00,2
3121902,157 days 00:00:00,161 days 00:00:00,1
3122108,55 days 00:00:00,140 days 12:00:00,2
3122504,45 days 00:00:00,100 days 00:00:00,1
3122702,35 days 00:00:00,142 days 00:00:00,1
3122900,21 days 00:00:00,91 days 00:00:00,1
3123106,103 days 00:00:00,330 days 00:00:00,1
3123205,166 days 00:00:00,307 days 00:00:00,1
3123304,51 days 00:00:00,89 days 00:00:00,1
3123700,14 days 00:00:00,184 days 00:00:00,2
3123858,83 days 00:00:00,67 days 00:00:00,1
3124203,181 days 00:00:00,347 days 12:00:00,2
3124609,111 days 00:00:00,226 days 00:00:00,1
3124906,41 days 00:00:00,136 days 00:00:00,1
3125309,18 days 00:00:00,52 days 00:00:00,1
3125408,32 days 00:00:00,125 days 00:00:00,1
3126109,147 days 00:00:00,192 days 00:00:00,1
3126505,137 days 00:00:00,386 days 00:00:00,1
3127073,15 days 00:00:00,55 days 00:00:00,1
3127404,45 days 00:00:00,691 days 00:00:00,1
3127503,207 days 00:00:00,186 days 00:00:00,1
3128808,88 days 16:00:00,149 days 00:00:00,3
3129301,101 days 12:00:00,201 days 00:00:00,2
3129806,154 days 00:00:00,232 days 00:00:00,1
3130200,37 days 00:00:00,57 days 00:00:00,1
3130556,115 days 00:00:00,145 days 00:00:00,3
3130655,75 days 12:00:00,187 days 12:00:00,2
3131208,72 days 00:00:00,285 days 00:00:00,1
3131703,61 days 00:00:00,358 days 00:00:00,1
3131802,25 days 00:00:00,111 days 00:00:00,1
3132503,90 days 00:00:00,301 days 00:00:00,1
3133204,118 days 00:00:00,115 days 00:00:00,1
3133303,300 days 00:00:00,202 days 00:00:00,1
3134103,619 days 00:00:00,270 days 00:00:00,1
3135001,77 days 08:00:00,196 days 16:00:00,3
3135506,62 days 08:00:00,84 days 00:00:00,3
3135803,316 days 00:00:00,139 days 00:00:00,1
3136009,29 days 12:00:00,131 days 00:00:00,2
3136108,46 days 00:00:00,343 days 00:00:00,1
3136207,31 days 00:00:00,220 days 00:00:00,2
3136652,30 days 00:00:00,187 days 00:00:00,1
3136702,80 days 00:00:00,1069 days 00:00:00,1
3137304,208 days 00:00:00,519 days 00:00:00,1
3138609,97 days 00:00:00,314 days 00:00:00,1
3138674,87 days 12:00:00,182 days 12:00:00,2
3138906,390 days 00:00:00,267 days 00:00:00,1
3139201,27 days 18:00:00,194 days 06:00:00,4
3139409,47 days 00:00:00,312 days 00:00:00,3
3139508,159 days 00:00:00,401 days 00:00:00,1
3139904,70 days 00:00:00,113 days 00:00:00,1
3140209,59 days 00:00:00,245 days 00:00:00,1
3140308,128 days 12:00:00,261 days 12:00:00,2
3140704,36 days 00:00:00,128 days 00:00:00,1
3140902,50 days 00:00:00,90 days 00:00:00,1
3141405,103 days 00:00:00,94 days 12:00:00,2
3141504,78 days 18:00:00,191 days 00:00:00,4
3141603,47 days 08:00:00,86 days 00:00:00,3
3141702,196 days 00:00:00,229 days 00:00:00,1
3142106,68 days 18:00:00,113 days 12:00:00,4
3142205,200 days 00:00:00,83 days 00:00:00,1
3143005,187 days 00:00:00,125 days 00:00:00,1
3143153,112 days 00:00:00,183 days 00:00:00,1
3143906,149 days 00:00:00,215 days 00:00:00,1
3144672,66 days 00:00:00,93 days 00:00:00,1
3145208,86 days 00:00:00,250 days 00:00:00,1
3145307,202 days 00:00:00,577 days 00:00:00,2
3145356,73 days 00:00:00,70 days 00:00:00,1
3145877,43 days 00:00:00,234 days 00:00:00,1
3146107,8 days 00:00:00,221 days 00:00:00,1
3146206,77 days 12:00:00,417 days 00:00:00,2
3146750,302 days 00:00:00,251 days 12:00:00,2
3147303,67 days 00:00:00,330 days 00:00:00,1
3148707,174 days 00:00:00,330 days 00:00:00,1
3148756,43 days 12:00:00,138 days 12:00:00,2
3149903,112 days 00:00:00,329 days 00:00:00,1
3150000,40 days 00:00:00,514 days 00:00:00,1
3150208,229 days 12:00:00,178 days 12:00:00,2
3150406,6 days 00:00:00,106 days 00:00:00,1
3150802,96 days 00:00:00,126 days 00:00:00,1
3150901,73 days 00:00:00,231 days 00:00:00,1
3151107,63 days 00:00:00,218 days 00:00:00,1
3151909,105 days 12:00:00,140 days 06:00:00,4
3152006,33 days 12:00:00,81 days 12:00:00,2
3152105,118 days 08:00:00,280 days 00:00:00,3
3152204,224 days 00:00:00,271 days 00:00:00,1
3152402,185 days 00:00:00,267 days 00:00:00,1
3153202,89 days 00:00:00,196 days 00:00:00,1
3153509,13 days 00:00:00,148 days 00:00:00,1
3154002,83 days 00:00:00,69 days 00:00:00,1
3154150,42 days 00:00:00,317 days 00:00:00,1
3154507,118 days 00:00:00,310 days 00:00:00,1
3154903,241 days 00:00:00,299 days 00:00:00,3
3155108,12 days 00:00:00,178 days 00:00:00,1
3155306,83 days 00:00:00,309 days 00:00:00,1
3155405,24 days 00:00:00,82 days 00:00:00,1
3155603,77 days 18:00:00,163 days 12:00:00,4
3155702,123 days 00:00:00,259 days 00:00:00,1
3155801,34 days 00:00:00,170 days 00:00:00,1
3156601,61 days 00:00:00,379 days 00:00:00,1
3156700,53 days 12:00:00,234 days 00:00:00,2
3157005,104 days 12:00:00,182 days 12:00:00,2
3157401,22 days 00:00:00,417 days 00:00:00,1
3157500,204 days 00:00:00,136 days 00:00:00,1
3157807,102 days 00:00:00,350 days 00:00:00,1
3157906,43 days 00:00:00,184 days 00:00:00,1
3158003,55 days 00:00:00,136 days 00:00:00,1
3158102,32 days 00:00:00,212 days 00:00:00,1
3158508,6 days 00:00:00,39 days 00:00:00,1
3158904,43 days 00:00:00,159 days 00:00:00,1
3159704,111 days 00:00:00,101 days 00:00:00,3
3160009,24 days 00:00:00,173 days 00:00:00,1
3160108,153 days 00:00:00,304 days 12:00:00,2
3160306,275 days 12:00:00,426 days 00:00:00,2
3160454,12 days 00:00:00,63 days 00:00:00,1
3160702,104 days 00:00:00,178 days 00:00:00,1
3161007,167 days 00:00:00,210 days 00:00:00,1
3161056,34 days 00:00:00,464 days 00:00:00,1
3161106,53 days 12:00:00,124 days 00:00:00,2
3161700,36 days 00:00:00,104 days 00:00:00,1
3162104,43 days 00:00:00,82 days 00:00:00,1
3162708,56 days 00:00:00,81 days 00:00:00,1
3163003,115 days 00:00:00,301 days 00:00:00,2
3164001,97 days 00:00:00,49 days 00:00:00,1
3165008,192 days 00:00:00,61 days 00:00:00,1
3165552,139 days 00:00:00,343 days 00:00:00,1
3165560,42 days 12:00:00,192 days 00:00:00,2
3166204,161 days 00:00:00,154 days 00:00:00,1
3166303,36 days 00:00:00,111 days 00:00:00,1
3166956,75 days 12:00:00,152 days 12:00:00,2
3167707,51 days 00:00:00,95 days 00:00:00,1
3167806,10 days 00:00:00,718 days 00:00:00,1
3168002,71 days 16:00:00,243 days 16:00:00,3
3168051,40 days 00:00:00,82 days 00:00:00,2
3168408,37 days 00:00:00,151 days 00:00:00,2
3168507,34 days 00:00:00,98 days 00:00:00,1
3168606,153 days 06:00:00,268 days 00:00:00,4
3168705,73 days 00:00:00,130 days 12:00:00,4
3169000,92 days 00:00:00,135 days 00:00:00,1
3169059,53 days 00:00:00,370 days 00:00:00,1
3169307,53 days 18:00:00,190 days 06:00:00,4
3169505,105 days 00:00:00,297 days 00:00:00,1
3169901,16 days 00:00:00,186 days 12:00:00,2
3170305,343 days 00:00:00,209 days 00:00:00,1
3170503,184 days 00:00:00,195 days 00:00:00,2
3171204,145 days 16:00:00,190 days 00:00:00,3
3171303,63 days 00:00:00,469 days 00:00:00,2
3171907,42 days 00:00:00,142 days 00:00:00,1
3172004,69 days 12:00:00,230 days 12:00:00,2
3200201,86 days 00:00:00,273 days 00:00:00,1
3200300,79 days 12:00:00,85 days 12:00:00,2
3202454,55 days 00:00:00,71 days 00:00:00,1
3202603,51 days 12:00:00,209 days 12:00:00,2
3202652,88 days 00:00:00,239 days 00:00:00,1
3203908,285 days 00:00:00,191 days 00:00:00,1
3205036,144 days 06:00:00,202 days 12:00:00,4
3300407,149 days 00:00:00,446 days 00:00:00,1
3300803,200 days 00:00:00,239 days 00:00:00,1
3300902,100 days 00:00:00,216 days 00:00:00,1
3301801,76 days 16:00:00,280 days 00:00:00,3
3302205,21 days 00:00:00,252 days 00:00:00,1
3302304,13 days 00:00:00,89 days 00:00:00,1
3302601,209 days 00:00:00,98 days 00:00:00,1
3302809,135 days 00:00:00,221 days 00:00:00,1
3302908,56 days 00:00:00,281 days 00:00:00,1
3303401,100 days 00:00:00,230 days 00:00:00,1
3303609,176 days 00:00:00,311 days 00:00:00,1
3303807,107 days 12:00:00,487 days 12:00:00,2
3305703,193 days 00:00:00,604 days 00:00:00,1
3502754,20 days 00:00:00,524 days 00:00:00,1
3503208,5 days 00:00:00,14 days 00:00:00,2
3506409,141 days 12:00:00,220 days 12:00:00,2
3506904,14 days 00:00:00,357 days 00:00:00,1
3509601,90 days 00:00:00,276 days 00:00:00,1
3515004,220 days 00:00:00,148 days 00:00:00,1
3518701,40 days 00:00:00,500 days 00:00:00,1
3525706,144 days 00:00:00,189 days 00:00:00,1
3528908,263 days 00:00:00,301 days 00:00:00,1
3531100,161 days 00:00:00,446 days 00:00:00,1
3531704,248 days 00:00:00,378 days 00:00:00,1
3536703,329 days 00:00:00,240 days 12:00:00,2
3537206,257 days 00:00:00,106 days 00:00:00,1
3537602,110 days 00:00:00,375 days 12:00:00,2
3541505,206 days 00:00:00,-5 days +00:00:00,1
3542800,83 days 00:00:00,247 days 00:00:00,1
3548005,524 days 00:00:00,204 days 00:00:00,1
3548500,72 days 00:00:00,283 days 00:00:00,2
3550704,16 days 00:00:00,643 days 00:00:00,1
3550902,132 days 00:00:00,250 days 00:00:00,1
3552106,14 days 00:00:00,146 days 00:00:00,1
3554003,88 days 00:00:00,192 days 00:00:00,2
3555406,574 days 00:00:00,357 days 00:00:00,1
4100806,25 days 00:00:00,252 days 00:00:00,2
4103479,221 days 00:00:00,83 days 00:00:00,1
4107157,313 days 00:00:00,130 days 00:00:00,1
4107207,93 days 00:00:00,230 days 00:00:00,2
4107546,93 days 00:00:00,125 days 00:00:00,1
4107751,247 days 00:00:00,146 days 00:00:00,1
4108304,14 days 00:00:00,216 days 00:00:00,1
4108403,11 days 00:00:00,297 days 00:00:00,1
4110805,86 days 00:00:00,210 days 00:00:00,1
4111506,191 days 00:00:00,284 days 00:00:00,1
4112751,55 days 00:00:00,93 days 00:00:00,1
4112959,63 days 00:00:00,132 days 00:00:00,1
4113452,9 days 00:00:00,216 days 00:00:00,1
