ibge7,tempo_medio_analise,tempo_medio_liberacao,qtd
4315156,89 days 12:00:00,201 days 08:00:00,6
4315206,14 days 00:00:00,377 days 00:00:00,1
4315453,33 days 17:08:34.285714285,88 days 00:00:00,7
4315503,33 days 00:00:00,231 days 00:00:00,1
4315750,397 days 00:00:00,569 days 00:00:00,1
4315800,48 days 14:24:00,169 days 19:12:00,5
4315909,13 days 00:00:00,304 days 00:00:00,1
4316006,62 days 00:00:00,191 days 00:00:00,1
4316428,38 days 00:00:00,78 days 00:00:00,1
4316451,31 days 00:00:00,163 days 12:00:00,2
4316501,44 days 00:00:00,104 days 00:00:00,1
4316758,22 days 00:00:00,189 days 00:00:00,1
4316907,77 days 16:00:00,168 days 16:00:00,3
4317103,92 days 00:00:00,189 days 00:00:00,1
4317202,140 days 00:00:00,10 days 00:00:00,1
4317251,61 days 00:00:00,180 days 16:00:00,3
4317608,25 days 00:00:00,120 days 00:00:00,1
4318051,22 days 00:00:00,37 days 00:00:00,1
4318200,224 days 00:00:00,86 days 00:00:00,1
4318408,208 days 00:00:00,99 days 00:00:00,1
4318499,22 days 00:00:00,164 days 00:00:00,1
4318614,137 days 00:00:00,199 days 00:00:00,1
4318705,96 days 00:00:00,68 days 12:00:00,2
4319505,52 days 00:00:00,149 days 00:00:00,1
4319711,126 days 00:00:00,202 days 00:00:00,1
4319737,130 days 00:00:00,209 days 00:00:00,1
4319752,112 days 00:00:00,106 days 00:00:00,1
4320107,44 days 00:00:00,152 days 00:00:00,1
4320230,264 days 12:00:00,247 days 12:00:00,2
4320404,35 days 12:00:00,44 days 12:00:00,2
4320677,136 days 18:00:00,194 days 12:00:00,4
4320701,43 days 08:00:00,203 days 08:00:00,3
4320800,47 days 00:00:00,191 days 00:00:00,1
4321204,62 days 08:00:00,418 days 00:00:00,3
4321303,95 days 00:00:00,339 days 00:00:00,1
4321402,13 days 00:00:00,206 days 00:00:00,1
4321451,112 days 12:00:00,315 days 00:00:00,2
4321626,17 days 00:00:00,318 days 00:00:00,2
4321634,154 days 00:00:00,53 days 00:00:00,1
4321667,66 days 00:00:00,108 days 00:00:00,1
4321709,117 days 00:00:00,288 days 00:00:00,2
4321832,363 days 00:00:00,182 days 00:00:00,1
4321857,28 days 00:00:00,179 days 00:00:00,1
4322152,110 days 00:00:00,161 days 00:00:00,2
4322202,45 days 00:00:00,198 days 00:00:00,1
4322251,26 days 00:00:00,193 days 00:00:00,1
4322301,35 days 00:00:00,119 days 00:00:00,1
4322558,34 days 00:00:00,271 days 12:00:00,2
4323408,17 days 00:00:00,175 days 00:00:00,1
4323457,70 days 00:00:00,235 days 00:00:00,2
4323507,19 days 00:00:00,268 days 00:00:00,1
5000609,353 days 00:00:00,85 days 00:00:00,1
5003157,190 days 00:00:00,187 days 00:00:00,1
5003454,172 days 12:00:00,126 days 12:00:00,2
5004304,105 days 00:00:00,97 days 00:00:00,1
5004809,322 days 00:00:00,391 days 00:00:00,1
5006259,238 days 16:00:00,357 days 08:00:00,3
5007703,212 days 00:00:00,309 days 00:00:00,1
5007950,313 days 00:00:00,218 days 00:00:00,1
5102504,114 days 00:00:00,344 days 00:00:00,1
5103056,185 days 00:00:00,430 days 00:00:00,1
5105200,269 days 00:00:00,549 days 00:00:00,1
5105309,496 days 00:00:00,104 days 00:00:00,1
5105507,189 days 00:00:00,281 days 00:00:00,1
5106109,213 days 00:00:00,335 days 00:00:00,1
5106307,138 days 00:00:00,349 days 00:00:00,2
5106315,33 days 00:00:00,48 days 00:00:00,1
5106422,179 days 00:00:00,605 days 00:00:00,1
5107107,473 days 00:00:00,212 days 00:00:00,1
5107776,471 days 00:00:00,104 days 00:00:00,1
5108055,253 days 00:00:00,314 days 00:00:00,2
5108907,33 days 00:00:00,30 days 00:00:00,1
5205513,49 days 00:00:00,253 days 00:00:00,1
5207535,48 days 00:00:00,85 days 00:00:00,1
5207907,67 days 16:00:00,70 days 16:00:00,3
5208905,35 days 00:00:00,147 days 00:00:00,1
5211008,83 days 00:00:00,183 days 00:00:00,1
5212501,64 days 12:00:00,166 days 00:00:00,2
5214705,68 days 00:00:00,51 days 00:00:00,1
